id,message
10873,list the current price of microsoft shares
8491,where is the nearest smoke shop
4549,please start over.
5948,read my lists to me
1663,mute volume now
7001,start play fifa seventeen
9835,in delhi traffic level too high
2465,i need the time zone from london england instead of central time zone
687,resume the last kingdom for me
5919,what are my available lists
1551,please reduce the speaker volume
4821,start vacuum cleaner
3475,olly would you shut off.
5702,add grocery shopping to my to do list
8052,answer this mathematical question
10893,search events and meetups for central park west
4777,clean my house
7250,play the next recording
7905,how old is cher
10041,i need to set an alarm how many do i have set
9119,prepare the order as soon as possible
1240,take off my alarms
1078,see see for me the alarms that you have set tomorrow morning
6117,i want you to delete my shopping list from last month
4673,let's try what you said one more time again please.
10840,what is the birthday of hemingway
2169,hey turn on your reminders for tomorrow's meeting at ten am
2274,whats needed to make pizza
5166,switch light to lowest level in dining area
7271,jump to next podcast
994,when i should leave to office
720,play my rap playlist
1111,show me the list of alarms
7671,give me the definition of school
10111,increase the volume to max please
3885,"s1, will you please further explain me about what you said."
9134,whats up with my takeaway
9395,what is the timing of bagmati express
3635,i'd like you check and confirm that please.
7480,what is the exchange rate for pounds and u. s. d.
4723,my vacuum cleaner should start between ten to eleven am everyday
4225,i think this is not correct command.
5131,color change of lights
9814,what is the traffic like this morning
2967,is this the correct area code for my boss
5309,control lights turn off room lights
2073,remove my event at one pm in my calendar
4316,ah that's awesome work.
1746,increase volume by two levels
7561,if i have a dablune how many dollars is that
10274,send email to daddy i'll be going to the birthday party
489,dim the lights at the living room
2072,find dinner with mom on my calendar and delete it
6294,that song is my favorite
845,list me the stock of apple right now
3910,can you elaborate further on this to me please.
7059,open songs by prince
8746,send a tweet
11025,i need a train ticket to denver
9918,get today's weather report
578,tell me my lists
2202,remind me of meeting five minutes before time
6011,could you open my list app and check for groceries please
2688,add email to contacts
1048,how much traffic does atlanta georgia usually have
7683,explain photosynthesis
10200,can i get the time
4782,start house cleaning
5388,all lights has to be turned off during the day
9329,can you see if there any trains going to
4898,start up the coffee machine
10671,please tell me the name of this band
3788,"anything would be good with me, olly."
1975,cancel my event on june nineteenth
10708,resume play where i left off in book on audible
1425,set an alarm for five hundred and thirty
4589,please tell me it one more again.
11000,could you please confirm if paradise does takeaway
2430,i need you to convert nine am cst to est time
932,did anyone get engaged or give birth among my online friends
411,can you please tell me who are you
3624,would you please check and confirm it.
6107,remove the sms recipient which have initials s
5885,can you read me my lists
1426,put alarm at five am
8784,tweet a complaint to old navy website
10448,i need to hear again.
3344,yeap it was correct.
7519,exchange rate between dollar and mexican peso
10304,"that is all, just cancel."
14,can you tell me what alarms i have set
6024,all food items with the prefix dry should be taken away from the list
3320,wonderful response to command.
1724,up the volume the sound is too low
7137,open my amazon music app and play my playlist
9540,can you call a taxi
3077,send mom an email now
7833,how is iron made
10003,should i take my raincoat with me now
5561,turn off bedroom fan
187,add dan's email
10505,make the bedroom lights red and the hall lights normal color please
3336,you understood command perfectly.
9302,tell me today's direction
8104,amazon stock price
3925,"s2, i didn't catch up with you."
2799,are there any new emails from robert jones
10397,i am sorry but you have messed up with my request.
5141,switch to night light setting
6520,shuffle the songs in the music library
2494,could you please tell me what time is in singapore
3692,i do not really mind for anything.
6165,delete butterfly clips from my wish list
9140,does the nearby pizza hut deliver in my area
2096,delete my appointment tomorrow
6506,shazam this music
3748,"don't bother, olly."
7342,i need you to find a good channels to listen to
2837,jane doe
8971,order two hamburgers for me
3282,exact.
4956,set the coffee maker to on
9177,is fongs dine in only
6394,what song is playing on windows media player
1436,alarm five pm tuesday
9795,what does the traffic look like headed to la
2246,take note of today as my first date with bob
9113,when is my takeaway going to get here
138,activate a one week notification before my anniversary please
3097,mahaboobsayyad@gmail dot com
3725,that is of no importance for me.
7598,convert one dollars to rupees
3782,"have no idea for which to select, olly."
8819,what time is bina going live with her sale on facebook
9774,latest news on traffic at my current location
3828,it was not clear.
5678,enable smart socket
1109,what alarms do i have set
4840,please make me a coffee using the coffee machine
2196,add valia's wedding the next saturday at eight o clock
10107,turn volume up to highest level
4248,"that was helpful,."
5149,make my lights green
6366,identify song
10581,wemo plug socket on
625,the song you are playing is amazing
3886,could you clarify further on what you said now to me please.
8191,what apple trading at
9381,what is the estimated travel time for the train ride to orlando
6274,save my opinion on the currently playing song
8721,open twitter type my complaint and post to @consumer service
5215,is it ok to lower the lights
7341,play radio
7162,play the song get happy by ella fitzgeral
1314,cancel alarm for tenth of march two thousand seventeen
7045,play my most played songs
293,please will you check it.
402,anything i need to know
3342,yes right.
7720,look up word
10558,brighten the light of hall
4334,"good work, you have done well, olly."
60,mute speaker
6264,save that song and my opinion
6392,what is the current song called
2981,please check and tell me contact details of mongomery llc company
1404,add a five am alarm in place of my nine pm alarm
10633,delete the list brads appointments
4546,say the last one said again please.
8826,tell me my friends most recent update
7242,please play next episode of bbc history podcast
3153,hey email jan about our meeting
10895,find events in local area
5210,adjust the lights to a lower setting please
5726,please update list with new item
4678,could you tell me it once again.
2724,have i gotten any emails from mom lately
3613,i like you confirm last thing said please.
6258,i find rap music really enjoyable
10934,what movies are playing in columbia
10184,how do i make tuna casserole from scratch
1785,increase volume by one
3315,you've gotten my instructions exactly.
9341,show me today train time of kalka at jodhpur
6633,google search the topic
7195,can you play the next podcast
4972,let me get a cup of coffee please
6943,video games
2862,show all emails regarding the breach
8079,how expensive is google stock
9262,directions to sainsburys
4930,make some coffee
5419,turn the lights on
10706,play sam harris audiobook
2870,do i have any new emails in my inbox today
5976,what's on my todo list
7537,is the pound up or down against the dollar
4810,enable cleaner robot
7426,channel seventy two point five
7139,play my favorite music
797,please tell me the definition of home
8485,i need a good shop
