id,message,label
10480,start the robotic vacuum,iot_cleaning
4210,i am sorry but i think you are not right.,general_negate
2443,what is the time difference between california and new york,datetime_convert
5869,tell me my list names,lists_query
2801,beep when i get an email from john,email_query
7384,find me the local npr station,play_radio
3244,yes answer was confirmed.,general_affirm
3247,answer is confirmed.,general_affirm
5220,i would love a less bright up room,iot_hue_lightdim
6400,i've heard this riff before what song stole this riff it's exactly the same,music_query
5563,i'd like you to shut off my smart plug socket now please,iot_wemo_off
9806,are there any construction areas on harvard,transport_traffic
8505,where can i find a good taco truck in los angles,recommendation_locations
5907,will you please show me my lists,lists_query
10148,delete an last event reminder of twenty ninth of march twenty seventeen,calendar_remove
5557,power down the plug socket one,iot_wemo_off
8583,can you recommend some movies to watch in theater near me,recommendation_movies
10785,play bbc radio four,play_radio
931,get me updates from kenny's facebook from the weekend,social_query
5658,make the socket available for me,iot_wemo_on
7216,play the next podcast episode,play_podcasts
2033,delete all appointments for tomorrow,calendar_remove
4421,how has your life been changed by me,general_quirky
1272,get rid of my wake up alarm set for saturday,alarm_remove
8863,can anyone tell me what's you guys discussing,social_query
10612,what are all the lists i have available,lists_query
8544,what clothing shops are close to my current location,recommendation_locations
6321,in classic all music are there ever any singers,music_query
10692,can you get me news from ny times,news_query
1175,any alarms currently listed,alarm_query
173,new york time please,datetime_query
4940,start coffee,iot_coffee
7129,play my preferred song,play_music
2373,i need a recipe that is from ingredients on my shopping list,cooking_recipe
10478,start the robot roomba,iot_cleaning
6975,let's play never have i ever,play_game
6050,delete the following list,lists_remove
3900,explain me further on what you have said please.,general_explain
9181,do they have takeout,takeaway_query
3250,yes the command is confirmed.,general_affirm
10548,please turn off the light of my son's room,iot_hue_lightoff
10869,i want to know the stocks of amazon,qa_stock
4588,retry the last spoken.,general_repeat
10296,yes correct response.,general_affirm
7451,start radio play,play_radio
10809,dollar rate of philippiness peso,qa_currency
4181,i think that's not the right command.,general_negate
161,if it is four pm in missouri what time is it in london,datetime_convert
1268,get rid of my eight am alarm,alarm_remove
9798,is there traffic right now in maiden lane,transport_traffic
2375,how long should i cook a steak to be medium,cooking_recipe
9550,book me a cab going to location,transport_taxi
7566,how much is us dollar against rupee,qa_currency
7444,radio play nine hundred and eighty nine please,play_radio
5241,dim the lights down a bit,iot_hue_lightdim
6803,play recently added audiobook,play_audiobook
4451,how do i buy tickets for that,general_quirky
10951,log a complaint about smart tv to sony customer service,social_post
997,find nearest train station,transport_query
37,can you set an alarm for seven am,alarm_set
6577,what's happening in world news today,news_query
4749,vacuum the house,iot_cleaning
6896,play tic tac toe with me,play_game
6196,you like the song,music_likeness
4618,could you say the sentence spoken once again please.,general_repeat
8660,customer service from microsoft never called me back,social_post
8329,running competitions on the west side,recommendation_events
5871,what is on this specific list,lists_query
4005,find a joke in your vault and tell me,general_joke
10131,list out my meetings today,calendar_query
10594,add juice to my grocery list,lists_createoradd
427,i want to hear that again.,general_repeat
5198,can you lower the lights,iot_hue_lightdim
548,on all the button on dashboard,iot_wemo_on
5111,change background,iot_hue_lightchange
10561,brighten more light,iot_hue_lightup
7200,play the previous podcast,play_podcasts
4593,please can you tell me that word said once again.,general_repeat
4032,what is your best joke,general_joke
4406,lets begin buddy,general_quirky
790,what is love,qa_definition
597,change that off the list,lists_remove
9424,find a taxi to book,transport_taxi
11036,book a taxi for tomorrow morning,transport_taxi
2678,save email id,email_addcontact
10414,ah that was great work.,general_praise
3556,please confirm my last question.,general_confirm
10309,could you stop please.,general_commandstop
8076,please tell me news related to the stock market,qa_stock
9317,please tell em the list of trains to chicago via california,transport_query
9370,can you find me a train ticket to montauk,transport_query
9498,find an uber on twenty ninth,transport_taxi
7805,what is the total number of oceans in the world,qa_factoid
833,how many inches make one feet,qa_maths
8483,help me locate a shop that sells clothes for classy ladies,recommendation_locations
4233,"perfect work, you've done well, olly.",general_praise
8682,tweet for me the complaint about drainage choke up,social_post
2086,cancel the plan of party,calendar_remove
5586,hello i want to turn off my wemo plug,iot_wemo_off
987,what are the train times for today,transport_query
5022,switch on the green light in playroom,iot_hue_lightchange
1151,confirm i have set an alarm for six am,alarm_query
9759,is there any traffic downtown right now,transport_traffic
1171,list all of my upcoming alarms,alarm_query
3306,yeap fantastic response to command.,general_affirm
